Fecha;Num_Mes;Mes
17/12/2020;12;diciembre
18/12/2020;12;diciembre
19/12/2020;12;diciembre
20/12/2020;12;diciembre
21/12/2020;12;diciembre
22/12/2020;12;diciembre
23/12/2020;12;diciembre
24/12/2020;12;diciembre
25/12/2020;12;diciembre
26/12/2020;12;diciembre
27/12/2020;12;diciembre
28/12/2020;12;diciembre
29/12/2020;12;diciembre
30/12/2020;12;diciembre
31/12/2020;12;diciembre
01/01/2021;1;enero
02/01/2021;1;enero
03/01/2021;1;enero
04/01/2021;1;enero
05/01/2021;1;enero
06/01/2021;1;enero
07/01/2021;1;enero
08/01/2021;1;enero
09/01/2021;1;enero
10/01/2021;1;enero
11/01/2021;1;enero
12/01/2021;1;enero
13/01/2021;1;enero
14/01/2021;1;enero
15/01/2021;1;enero
16/01/2021;1;enero
17/01/2021;1;enero
18/01/2021;1;enero
19/01/2021;1;enero
20/01/2021;1;enero
21/01/2021;1;enero
22/01/2021;1;enero
23/01/2021;1;enero
24/01/2021;1;enero
25/01/2021;1;enero
26/01/2021;1;enero
27/01/2021;1;enero
28/01/2021;1;enero
29/01/2021;1;enero
30/01/2021;1;enero
31/01/2021;1;enero
01/02/2021;2;febrero
02/02/2021;2;febrero
03/02/2021;2;febrero
04/02/2021;2;febrero
05/02/2021;2;febrero
06/02/2021;2;febrero
07/02/2021;2;febrero
08/02/2021;2;febrero
09/02/2021;2;febrero
10/02/2021;2;febrero
11/02/2021;2;febrero
12/02/2021;2;febrero
13/02/2021;2;febrero
14/02/2021;2;febrero
15/02/2021;2;febrero
16/02/2021;2;febrero
17/02/2021;2;febrero
18/02/2021;2;febrero
19/02/2021;2;febrero
20/02/2021;2;febrero
21/02/2021;2;febrero
22/02/2021;2;febrero
23/02/2021;2;febrero
24/02/2021;2;febrero
25/02/2021;2;febrero
26/02/2021;2;febrero
27/02/2021;2;febrero
28/02/2021;2;febrero
01/03/2021;3;marzo
02/03/2021;3;marzo
03/03/2021;3;marzo
04/03/2021;3;marzo
05/03/2021;3;marzo
06/03/2021;3;marzo
07/03/2021;3;marzo
08/03/2021;3;marzo
09/03/2021;3;marzo
